,A
0,"재팬 오픈에서 4회 우승하였으며, 통산 단식 200승 이상을 거두었다. 1994년 생애 최초로 세계 랭킹 10위권에 진입하였다. 1992년에는 WTA로부터 '올해 가장 많은 향상을 보여준 선수상'(Most Improved Player Of The Year)을 수여받았으며, 일본 남자 패션 협회(Japan Men's Fashion Association)는 그녀를 '가장 패셔너블한 선수'(Most Fashionable)로 칭했다. 생애 두 번째 올림픽 참가 직후인 1996년 9월 24일 최초로 은퇴를 선언하였다. 이후 12년만인 2008년 4월에 예상치 못한 복귀 선언을 하고 투어에 되돌아왔다. 2008년 6월 15일 도쿄 아리아케 인터내셔널 여자 오픈에서 복귀 후 첫 우승을 기록했으며, 2009년 9월 27일에는 한국에서 열린 한솔 코리아 오픈 대회에서 우승하면서 복귀 후 첫 WTA 투어급 대회 우승을 기록했다. 한숨 좀 작작 쉬어!"
1,"ave;new(아베;뉴, アベニュー)는 도쿄 치요다구에 본 거처를 둔 일본의 음악 제작 그룹이다. ave;new의 프로듀서인 a.k.a.dRESS가 학창시절부터 친구인 네모토 히데미·마츠시타 미유키를 불러 사운드 팀을 시작하자고 제안한 것이 결성의 계기이다. 2003년 7월에 결성된 ave;new는, 주로성인 게임의 주제가나 BGM를 제공하고 있다.주로 파트너 브랜드의 BGM 및 예능 프로덕션도 담당하고 있으며 CD는 그룹명과 같이 ave;new의 라벨로 판매되고 있으나 다른 라벨에 비해 시장에 약간 유통 하기 어렵다.또한 일부의 CD는 d;VIRTU(주식회사 디바트)가 판매하고 있기 때문이다. 음악은테크노계나 트랜스계와 같이 밝은 곡으로부터,재즈나발라드와 같이 조용한 곡까지 폭넓게 제작할 수 있는 것이 특징이다.특히, 신디사이저를 이용한 테크노계의 곡은 높은 평가를 얻고있다. ave;new의 프로듀서인a.k.a.dRESS가 학생시절부터의 친구인 네모토 히데미·마츠시타 미유키를 불러, 사운드 팀을 시작하려고 제안한 것이 결성의 계기다. ave;new라고 하는 브랜드명은 ""avenue""(길·수단)과 ""new""(새롭다)이라고 하는 2개의 단어를 조합한 것으로, 항상 창조의 새로운 길과 수단을 모색한다라고 하는 의미를 담고, a.k.a.dRESS가 이름을 붙였다."
2,"사카이 다다요시(일본어: 酒井忠休, 1714년 9월 24일 ~ 1787년 6월 3일)는 일본 에도 시대의 다이묘로, 데와노쿠니 마쓰야마 번의 3대 번주이다. 어릴적 이름은 헤이지로(平次郎)이며, 관위는 종5위하, 야마시로노카미, 이와미노카미이다. 쇼토쿠 4년(1714년) 8월 16일, 쇼나이 번사로 사카이 이에쓰구의 후손인 사카이 나오타카(酒井直隆)의 아들로 태어났다. 교호 17년(1732년) 7월에 마쓰야마 번의 2대 번주인 사카이 다다야스의 친아들인 사카이 다다히데가 폐적되었기 때문에, 그해 8월 29일에 다다야스의 양자가 되었으며, 같은해 11월 25일 다다야스가 은거하면서 번주직을 계승하였다. 번 통치 개혁의 일환으로 가리아게 제(借上制)를 시행하였으나, 양자로서 번주가 된 다다요시에 대한 가신단의 반발로 인해 실패하고, 막부로부터 3천 냥을 빌려서 곤궁함을 면하였다. 호레키 10년(1760년) 8월, 와카도시요리에 임명되었고, 안에이 8년(1779년) 12월 15일에 고즈케 국 내 영지 5천 석을 추가로 받아, 번 영지는 2만 5천 석이 되었다. 덴메이 7년(1787년) 4월 18일, 74세로 사망하였다."
3,"일반성면은 동부 5개 면의 교통, 문화, 교육, 상업의 중심지로서 일찍부터 상업이 발달한 곳으로 날로 반성 재래시장이 번성하고 있는 고장이다. 면적은 19.41 km²로 진주시 16개 읍면동 중 가장 적은 면이지만 인근에 경남 산림환경연구원이 있어 그곳을 찾는 관광객이 이곳 일반성면을 지나간다. 2012년 1월 1일 기준으로 인구 3,233명 (남 : 1,556명, 여 : 1,677명) 1,413세대로 6개 법정리 19개 자연마을 31개 반으로 구성되어 있다. [1]"
4,"지방은 전국을 19개 로(路)로 나누고, 그 아래에 부(府)나 주(州)를 두고, 다시 그 아래에 현(縣)을 두었다. 로에는 도총관(都總管), 부에는 윤(尹), 주에는 절도사(節度使)·방어사(防禦使)·자사(刺史), 현에는 지현(知縣)을 임명해 다스렸다. 금나라는 초기에는 여진족의 관습법에 따르다가 화베이를 점령한 후 1145년에 역대 중국법을 참고해  Anchun Gurun, )은 여진족이 중국 동북지방, 몽골, 화베이 일대에 세운 왕조. 태조 아구다가 회령부에서 1115년에 건국했으며, 1153년에 해릉왕이 연경(燕京, 지금의 베이징)으로 수도를 옮겼다. 그 뒤 몽골 제국이 압박하자 1214년에 변경(汴京, 지금의 카이펑)으로 수도를 옮겼다. 이후 몽골 제국과 남송 연합군에 멸망당했다. 태조부터 말제까지 10명의 황제가 재위했다."
5,"한 번의 공격플레이는 수비팀이 공을 가진 선수를 태클하여 땅에 넘어뜨리면 끝나고, 공을 가진 선수가 넘어진 그 지점이 스크리미지 라인(scrimmage)이 된다. 공격플레이는 항상 센터의 스냅(snap)으로 시작된다. 스냅이란 오펜스 라인의 가운데 있는 센터가 스크리미지 라인 위에 놓여있는 공을 뒤에 있는 쿼터백에게 전달하는 것이다. 쿼터백과 미리 약속한 신호에 맞춰 센터가 스냅을 하고, 그때부터 모든 공격선수들이 움직이게 된다. 수비선수들은 센터의 스냅을 보고 반응하게 되며, 센터의 스냅이 되기 전에 스크리미지 라인을 넘어가면 반칙이 된다. 스냅으로 시작된 한 다운이 끝나는 경우는 다음과 같다. 공수가 교대되는 순간은 공격팀이 4번째 다운을 성공시키지 못했을 경우, 펀트를 했을 경우 외에도 수비선수가 공격팀의 포워드 패스를 가로챘을 경우(인터셉트, intercept)와 공격팀이 공을 놓쳤을 때(펌블, fumble) 수비팀이 리커버하는 경우 등이 있다."
6,"유럽연합 국가임에도 불구하고 스페인은 아르헨티나의 영유권주장을 암묵적으로 인정하고 있다. 중화인민공화국 또한 아르헨티나의 영유권 주장을 공식적으로 지지하고 있다. 미합중국은 1940년대 이래 공식적으로 이 제도의 영유권주장에 대해서 중립적 입장을 유지하고 있다. 그러나 포클랜드 전쟁 중에는 영국에 대해 물자 및 정보지원을 실시했다 이 제도에 대한 국제연합(UN)의 수십 년 된 입장은, 중립적 관점에 의거하여 영국과 아르헨티나 양측이 이 문제에 대해 협상을 시작할 것을 요구하고 있다. 남대서양 한가운데 위치한 섬으로, 12,173㎢의 면적에 서(西)포클랜드와 동(東)포클랜드 섬 및 주위 776개 섬으로 이루어졌다. 해양성 아남극(亞南極) 기후로 비교적 냉량(冷凉)한 편이다. 여름인 1월의 평균기온은 13 °C (55 °F), 겨울인 7월의 평균기온은 4 °C (39 °F) 가량이다."
7,"북한은 1960년대 후반에 소련으로부터 잠수함을 제공받았으며, 1990년대에는 러시아로부터 폭스트로트급, 골프2급 등의 퇴역하는 잠수함들을 수입하였다. 골프2급 잠수함은 노동 1호를 탑재할 수 있다고도 전해졌다. 1998년초에는 북한이 47척의 잠수정과 45척의 잠수함을 보유하였다고 보도되었다. 1980년대 후반에는 북한이 이란에 X크라프트형 잠수정을 수출하였다는 의혹이 제기되었다. 2014년에는 북한이 잠수함이 잠수정을 포함하여 모두 78척으로 숫자상으로는 세계에서 가장 많은 잠수함을 보유하고 있다고 보도되었다. 북한은 중국제 033형을 개조한 것으로 추정되는 1800톤급의 로미오급 잠수함과, 370톤급의 상어급 잠수함, 90톤급의 유고급 잠수함, 그 외에 연어급과 가디르급 잠수함을 건조, 보유하고 있는 것으로 알려져 있다. 북한은 서해 비파곶과 동해 차호 등에 잠수함 기지를 갖고 있다고 보도되었다."
8,"1990 상무(상주 상무) 입단테스트에 합격해 2년 군생활 뒤, 1992년 울산 현대에서 데뷔하여, 1996년 K-리그 우승, 1998년 K-리그 준우승 등에 큰 공헌을 하였다. 특히, 1998년 10월 24일 포항 스틸러스와의 플레이오프 2차전에서 1:1로 맞선 후반 추가시간 프리킥 찬스에서 헤딩슛을 성공시키면서 골키퍼 최초의 필드골을 성공시키기도 했는데, 당시 실점의 책임에 대해서 포항 스틸러스 포백이 대인마크에 소홀한 탓인지, 골키퍼 김이섭의 방심이 원인이었는가에 대해서 이견이 많았다고 한다. 1998년 FIFA 월드컵 이후, 월드컵에서 김병지의 활약을 지켜본 잉글랜드 프리미어리그의 블랙번 로버스 FC, 에버턴 FC, 사우샘프턴 FC 등 여러 팀들이 김병지에게 러브콜을 보냈으나 김병지는 당시 소속팀이었던 울산 현대의 반대로 K-리그에 남게 되었다. 2001년 당시 국내 선수 중에서는 최고 이적료로 포항 스틸러스로 이적하여, 2004년 K-리그 준우승 등에 큰 공헌을 하였다. 특히, 2004년 12월 12일 수원 삼성 블루윙즈와의 챔피언 결정전 2차전에서 승부차기까지 간 끝에 3:4로 패하였는데, 당시 김병지는 5번째 키커로 나섰지만 그의 슈팅이 '영원한 라이벌'인 이운재에게 막히며 우승을 내주기도 하였다."
9,"두 장의 싱글이 발매되는 사이 프로모션 싱글 〈Dark Horse(Dark Horse (케이티 페리의 노래))〉와 〈Walking on Air〉를 발매하기도 했다. 이후 〈Dark Horse〉는 2013년 12월 17일 세 번째 공식 싱글로 발매되었다. 《Prism》은 미국의 싱어송라이터 케이티 페리의 세 번째 정규 앨범으로, 2013년 10월 18일 캐피톨 레코드를 통해 발매되었다. 이번 앨범은 페리의 이전 작품들보다 ""어둡다""고 알려왔지만, 최종적으로는 스웨덴 댄스 음악에서 많은 영향을 받았다. 작업은 이전에 같이 해왔던 사람들 뿐만 아니라 새로운 프로듀서, 게스트 보컬이 대거 투입되었다. 《Prism》의 주된 테마는 현재 삶, 관계, 자아인식이다. 음반은 평론가들에게 혼합된 평가를 받았다."
