,Q,A
0,12시 땡!,하루가 또 가네요.
1,1지망 학교 떨어졌어,위로해 드립니다.
2,3박4일 놀러가고 싶다,여행은 언제나 좋죠.
3,3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.
4,PPL 심하네,눈살이 찌푸려지죠.
5,SD카드 망가졌어,다시 새로 사는 게 마음 편해요.
6,SD카드 안돼,다시 새로 사는 게 마음 편해요.
7,SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.
8,SNS 시간낭비인 거 아는데 매일 하는 중,시간을 정하고 해보세요.
9,SNS 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요.
10,SNS보면 나만 빼고 다 행복해보여,자랑하는 자리니까요.
11,가끔 궁금해,그 사람도 그럴 거예요.
12,가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.
13,가끔은 혼자인게 좋다,혼자를 즐기세요.
14,가난한 자의 설움,돈은 다시 들어올 거예요.
15,가만 있어도 땀난다,땀을 식혀주세요.
16,가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.
17,가스불 켜고 나갔어,빨리 집에 돌아가서 끄고 나오세요.
18,가스불 켜놓고 나온거 같아,빨리 집에 돌아가서 끄고 나오세요.
19,가스비 너무 많이 나왔다.,다음 달에는 더 절약해봐요.
20,가스비 비싼데 감기 걸리겠어,따뜻하게 사세요!
21,가스비 장난 아님,다음 달에는 더 절약해봐요.
22,가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.
23,가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.
24,가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.
25,가족 여행 어디로 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.
26,가족 있어?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
27,가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
28,가족끼리 여행간다.,더 가까워질 기회가 되겠네요.
29,가족들 보고 싶어,저도요.
30,가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요.
31,가족들이랑 서먹해졌어,다들 바빠서 이야기할 시간이 부족했나봐요.
32,가족들이랑 어디 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.
33,가족들이랑 여행 갈거야,좋은 생각이에요.
34,가족여행 가야지,더 가까워질 기회가 되겠네요.
35,가족이 누구야?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
36,가족이랑 여행 가려고,좋은 생각이에요.
37,가족한테 스트레스 풀었어,정말 후회할 습관이에요.
38,가출할까?,무모한 결정을 내리지 마세요.
39,가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요.
40,간만에 떨리니까 좋더라,떨리는 감정은 그 자체로 소중해요.
41,간만에 쇼핑 중,득템했길 바라요.
42,간만에 휴식 중,휴식도 필요하죠.
43,간식 뭐 먹을까,단짠으로 두 개 사는게 진리죠.
44,간식 추천,단짠으로 두 개 사는게 진리죠.
45,간장치킨 시켜야지,맛있게 드세요.
46,간접흡연 싫어,저도 싫어요.
47,갈까 말까 고민 돼,가세요.
48,갈까 말까?,가세요.
49,감 말랭이 먹고 싶다.,맛있게 드세요.
50,감 말랭이 먹어야지,맛있게 드세요.
51,감기 같애,병원가세요.
52,감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요.
53,감기 기운이 있어,이럴 때 잘 쉬는 게 중요해요.
54,감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요.
55,감기가 오려나,따뜻하게 관리하세요.
56,감기약이 없어,병원가세요.
57,감기인거 같애,병원가세요.
58,감미로운 목소리 좋아,저도 듣고 싶네요.
59,감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요.
